Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
16	Slalom	B1	1	1500	0	31	85	0	24	1.162	2	
16	Trick	B1	2	15000	0	350	4090	0	0	0.447	2	
16	Jump	B1	3	1500	0	999	999	0	0	0	2	
16	Slalom	B2	1	1500	0	58.25	104	0	8	1.856	3	
16	Trick	B2	2	15000	0	650	7870	0	0	0.441	3	
16	Jump	B2	3	1500	21.45	45	143	0	0	0.669	3	
16	Slalom	B3	1	1500	0	81.25	117	0	8	3.002	3	
16	Trick	B3	2	15000	0	1350	10430	0	0	0.537	3	
16	Jump	B3	3	1500	28.65	91	191	0	0	1.148	3	
16	Slalom	M1	1	1500	0	85.5	122.5	0	8	3.054	3	
16	Trick	M1	2	15000	0	1000	11070	0	0	0.457	3	
16	Jump	M1	3	1500	32.7	80	218	0	0	0.805	3	
16	Slalom	M2	1	1500	0	85.5	122	0	8	3.089	3	
16	Trick	M2	2	15000	0	1070	12090	0	0	0.453	3	
16	Jump	M2	3	1500	32.4	105	216	0	0	1.184	3	
16	Slalom	M3	1	1500	0	88.5	115.25	0	8	4.155	3	
16	Trick	M3	2	15000	0	1370	12070	0	0	0.505	3	
16	Jump	M3	3	1500	29.7	87	198	0	0	1.02	3	
16	Slalom	M4	1	1500	0	91	112	0	8	5.286	3	
16	Trick	M4	2	15000	0	1100	10420	0	0	0.489	3	
16	Jump	M4	3	1500	26.85	89	179	0	0	1.227	3	
16	Slalom	M5	1	1500	0	88.25	111.5	0	8	4.688	3	
16	Trick	M5	2	15000	0	1490	5490	0	0	0.842	3	
16	Jump	M5	3	1500	23.55	71	157	0	0	1.062	3	
16	Slalom	M6	1	1500	0	84.5	109	0	8	4.296	3	
16	Trick	M6	2	15000	0	1590	4830	0	0	0.989	3	
16	Jump	M6	3	1500	21.45	74	143	0	0	1.31	3	
16	Slalom	M7	1	1500	0	78.5	100.5	0	8	4.404	3	
16	Trick	M7	2	15000	0	1090	3750	0	0	0.889	3	
16	Jump	M7	3	1500	16.8	60	112	0	0	1.39	3	
16	Slalom	M8	1	1500	0	75.25	91.5	0	8	5.536	2	
16	Trick	M8	2	15000	0	870	2760	0	0	0.952	2	
16	Jump	M8	3	1500	14.4	36	96	0	0	0.827	2	
16	Slalom	M9	1	1500	0	72	86	0	8	6.066	2	
16	Trick	M9	2	15000	0	650	1740	0	0	1.116	2	
16	Jump	M9	3	1500	14.7	31	98	0	0	0.673	2	
16	Slalom	MA	1	1500	0	38	73.5	0	8	1.564	2	
16	Trick	MA	2	15000	0	450	1600	0	0	0.866	2	
16	Jump	MA	3	1500	7.05	27	47	0	0	1.582	2	
16	Slalom	MB	1	1500	0	30	38	0	8	4.057	2	
16	Trick	MB	2	15000	0	480	1050	0	0	1.404	2	
16	Jump	MB	3	1500	3.3	13	22	0	0	1.674	2	
16	Slalom	G1	1	1500	0	12.25	80	0	40	0.639	2	
16	Trick	G1	2	15000	0	120	5340	0	0	0.289	2	
16	Jump	G1	3	1500	149.85	999	999	0	0	0	2	
16	Slalom	G2	1	1500	0	53	98	0	8	1.738	3	
16	Trick	G2	2	15000	0	700	7170	0	0	0.472	3	
16	Jump	G2	3	1500	18	41	120	0	0	0.738	3	
16	Slalom	G3	1	1500	0	76	103	0	8	3.577	3	
16	Trick	G3	2	15000	0	1770	9880	0	0	0.639	3	
16	Jump	G3	3	1500	23.1	56	154	0	0	0.796	3	
16	Slalom	W1	1	1500	0	63	109	0	8	1.972	3	
16	Trick	W1	2	15000	0	670	10460	0	0	0.4	3	
16	Jump	W1	3	1500	23.55	49	157	0	0	0.663	3	
16	Slalom	W2	1	1500	0	70.5	111.25	0	8	2.383	3	
16	Trick	W2	2	15000	0	1040	8990	0	0	0.509	3	
16	Jump	W2	3	1500	23.7	68	158	0	0	0.991	3	
16	Slalom	W3	1	1500	0	75	109	0	8	2.913	3	
16	Trick	W3	2	15000	0	1890	6450	0	0	0.895	3	
16	Jump	W3	3	1500	23.25	65	155	0	0	0.956	3	
16	Slalom	W4	1	1500	0	65.5	100.5	0	8	2.523	3	
16	Trick	W4	2	15000	0	1150	5600	0	0	0.694	3	
16	Jump	W4	3	1500	19.95	47	133	0	0	0.768	3	
