Table:	TrickList								
PK	RuleCode	TrickCode	NumSkis	StartPos	NumTurns	RuleNum	TypeCode	Points	Description
000	awsa	FALL	9	0	1	0	0	0	Fall out of course
000	awsa	FALL	0	0	1	0	0	0	Fall out of course
000	awsa	FALL	1	0	1	0	0	0	Fall out of course
000	awsa	FALL	2	0	1	0	0	0	Fall out of course
000	awsa	NSP	9	0	1	0	0	-1	Not skiing position
000	awsa	NSP	0	0	1	0	0	-1	Not skiing position
000	awsa	NSP	1	0	1	0	0	-1	Not skiing position
000	awsa	NSP	2	0	1	0	0	-1	Not skiing position
000	awsa	RS	9	0	0	1	0	10	Reverse Slide (Kneeboard)
000	awsa	S	9	0	0	1	0	10	Side Slide (Kneeboard)
32	awsa	RS	0	0	0	1	0	20	Reverse Slide (Wakeboard)
51	awsa	S	0	0	0	1	0	20	Side Slide (Wakeboard)
103	awsa	RS	1	0	0	1	0	40	Reverse Slide
148	awsa	S	1	0	0	1	0	40	Side Slide
221	awsa	RS	2	0	0	1	0	20	Reverse Slide
230	awsa	S	2	0	0	1	0	20	Side Slide
117	awsa	RTS	1	0	0	2	0	130	Reverse Toe Slide
164	awsa	TS	1	0	0	2	0	130	Toe Side Slide
000	awsa	B	9	0	1	3	0	15	Front to Back (Kneeboard)
000	awsa	RB	9	0	1	3	0	15	Reverse Front to Back (Kneeboard)
5	awsa	B	0	0	1	3	0	30	Front to Back (Wakeboard)
20	awsa	RB	0	0	1	3	0	30	Reverse Front to Back (Wakeboard)
74	awsa	B	1	0	1	3	0	60	Front to Back
91	awsa	RB	1	0	1	3	0	60	Reverse Front to Back
206	awsa	B	2	0	1	3	0	30	Front to Back
214	awsa	RB	2	0	1	3	0	30	Reverse Front to Back
000	awsa	F	9	1	1	4	0	15	Front to Back (Kneeboard)
000	awsa	RF	9	1	1	4	0	15	Reverse Front to Back (Kneeboard)
16	awsa	F	0	1	1	4	0	30	Front to Back (Wakeboard)
30	awsa	RF	0	1	1	4	0	30	Reverse Front to Back (Wakeboard)
85	awsa	F	1	1	1	4	0	60	Front to Back
101	awsa	RF	1	1	1	4	0	60	Reverse Front to Back
209	awsa	F	2	1	1	4	0	30	Front to Back
217	awsa	RF	2	1	1	4	0	30	Reverse Front to Back
000	awsa	5B	9	0	3	5	0	28	540 Front to Back (Kneeboard)
000	awsa	5F	9	1	3	5	0	28	540 Back to Front (Kneeboard)
000	awsa	7B	9	1	4	5	0	23	720 Back to Back (Kneeboard)
000	awsa	7F	9	0	4	5	0	23	720 Front to Front (Kneeboard)
000	awsa	BB	9	1	2	5	0	23	Back to Back (Kneeboard)
000	awsa	OB	9	1	2	5	0	23	360 Back to Back (Kneeboard)
000	awsa	O	9	0	2	5	0	23	360 Front to Front (Kneeboard)
000	awsa	RBB	9	1	2	5	0	23	Back to Back (Kneeboard)
000	awsa	ROB	9	1	2	5	0	23	Reverse 360 Back to Back (Kneeboard)
000	awsa	RO	9	0	2	5	0	23	Reverse 360 Front to Front (Kneeboard)
1	awsa	5B	0	0	3	5	0	55	540 Front to Back (Wakeboard)
2	awsa	5F	0	1	3	5	0	55	540 Back to Front (Wakeboard)
3	awsa	7B	0	1	4	5	0	65	720 Back to Back (Wakeboard)
4	awsa	7F	0	0	4	5	0	65	720 Front to Front (Wakeboard)
6	awsa	BB	0	1	2	5	0	45	Back to Back (Wakeboard)
